sequence,name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,carbon_mode,MCMC_iter
1,g77-61_m1b_casper.fits,0.9373,0.3267,,0.1089,4127,250,-10.4,  NaN, NaN, NaN,DWARF, HALO,CH ,2000
2,g77-61_m2b_casper.fits,0.9373,0.3267,,0.1089,4127,250,20.2,  NaN, NaN, NaN,DWARF, HALO,CH ,2000
3,hd198269_m1b_casper.fits,0.6595,0.097,,0.1021,4716,250,-200.2,  NaN, NaN, NaN,GIANT, HALO, ,2000
4,hd198269_m2b_casper.fits,0.6595,0.097,,0.1021,4716,250,-284.2,  NaN, NaN, NaN,GIANT, HALO, ,2000
5,he0017_m1b_casper.fits,0.7699,0.1723,,0.0228,4336,250,-18.7,  NaN, NaN, NaN,GIANT, HALO, ,2000
6,jy0502_sum_casper.fits,0.4247,0.032,0.009,1.049,4598,250,63.1,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
7,jy0538_sum_casper.fits,0.8728,0.1497,1.304,0.0453,4236.36,250,42.7,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
8,jy0768_med_casper.fits,0.8765,0.1808,1.478,0.0118,3973,250,-33.9,  NaN, NaN, NaN,DWARF, HALO, ,2000
9,jy0768_sum_casper.fits,0.8765,0.1808,1.478,0.0118,3973,250,-33.9,  NaN, NaN, NaN,DWARF, HALO, ,2000
10,jy0909_m1b_casper.fits,0.7362,0.1139,1.328,0.0103,4137,250,94.1,  NaN, NaN, NaN,DWARF, HALO, ,2000
11,jy0909_m2b_casper.fits,0.7362,0.1139,1.328,0.0103,4137,250,62,  NaN, NaN, NaN,DWARF, HALO, ,2000
12,jy1051_m1b_casper.fits,0.9289,0.2561,1.704,0.0238,4117,250,-66.6,  NaN, NaN, NaN,DWARF, HALO, ,2000
13,jy1051_m2b_casper.fits,0.9289,0.2561,1.704,0.0238,4117,250,-66.6,  NaN, NaN, NaN,DWARF, HALO, ,2000
14,jy1118_m1b_casper.fits,0.7905,0.1073,1.011,0.0297,4906.45,250,40.9,  NaN, NaN, NaN,GIANT, HALO, ,2000
15,jy1196_sum_casper.fits,0.666,0.0838,1.286,0.0378,4190,250,74.9,  NaN, NaN, NaN,DWARF, HALO,CH ,2000
16,jy1390_m1b_casper.fits,0.8681,0.2853,1.495,0.0283,4035,250,259,  NaN, NaN, NaN,DWARF, HALO,CH ,2000
17,jy1390_m2b_casper.fits,0.8681,0.2853,1.495,0.0283,4035,250,208,  NaN, NaN, NaN,DWARF, HALO,CH ,2000
18,jy1706_m1b_casper.fits,0.9364,0.2326,1.511,0.0212,3943,250,0.6,  NaN, NaN, NaN,DWARF, HALO, CH,2000
19,jy1706_m2b_casper.fits,0.9364,0.2326,1.511,0.0212,3943,250,-54.8,  NaN, NaN, NaN,DWARF, HALO, CH,2000
20,jy1894_m1b_casper.fits,0.406,-0.3635,0.668,0.0345,,250,108.4,  NaN, NaN, NaN,GIANT, HALO, ,2000
21,jy1894_m2b_casper.fits,0.406,-0.3635,0.668,0.0345,,250,73.5,  NaN, NaN, NaN,GIANT, HALO, ,2000
22,jy1900_m1b_casper.fits,0.6576,0.0198,1.448,0.0578,4072,250,-40,  NaN, NaN, NaN,DWARF, HALO,CH,2000
23,jy1900_m2b_casper.fits,0.6576,0.0198,1.448,0.0578,4072,250,-91.1,  NaN, NaN, NaN,DWARF, HALO,CH ,2000
24,jy1926_m1b_casper.fits,1.0496,0.3192,1.58,0.0454,3945,250,2.6,  NaN, NaN, NaN,DWARF, HALO, ,2000
25,jy1926_m2b_casper.fits,1.0496,0.3192,1.58,0.0454,3945,250,-5.0,  NaN, NaN, NaN,DWARF, HALO, ,2000
26,jy2040_m1b_casper.fits,0.5173,0.0706,0.767,0.0943,4908.37,250,105.9,  NaN, NaN, NaN,GIANT, HALO, ,2000
27,jy2183_m1b_casper.fits,0.5444,0.1347,0.815,0.0694,4923,250,-26.3,  NaN, NaN, NaN,GIANT, HALO, ,2000
28,jy2183_m2b_casper.fits,0.5444,0.1347,0.815,0.0694,4923,250,-56,  NaN, NaN, NaN,GIANT, HALO, ,2000
29,jy2309_med_casper.fits,0.6137,-0.048,0.735,0.0438,4908.86,250,-31.7,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
30,jy2309_sum_casper.fits,0.6137,-0.048,0.735,0.0438,4908.86,250,-29.7,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
31,jy2552_m1b_casper.fits,0.3985,0.0565,0.627,0.0519,5324,250,-410,  NaN, NaN, NaN,GIANT, HALO, ,2000
32,jy2552_m2b_casper.fits,0.3985,0.0565,0.627,0.0519,5324,250,-410,  NaN, NaN, NaN,GIANT, HALO, ,2000
33,jy2553_m1b_casper.fits,0.4696,-0.0932,0.871,0.0693,5022,250,3.1,  NaN, NaN, NaN,GIANT, HALO, ,2000
34,jy2553_m2b_casper.fits,0.4696,-0.0932,0.871,0.0693,5022,250,3.1,  NaN, NaN, NaN,GIANT, HALO, ,2000
35,jy2559_m1b_casper.fits,0.55,0.0932,0.763,0.0395,4957.5,250,275,  NaN, NaN, NaN,GIANT, HALO, ,2000
36,jy2559_m2b_casper.fits,0.55,0.0932,0.763,0.0395,4957.5,250,228,  NaN, NaN, NaN,GIANT, HALO, ,2000
37,jy2866_m1b_casper.fits,0.4902,-0.032,0.758,0.0304,4975.5,250,18.4,  NaN, NaN, NaN,GIANT, HALO, ,2000
38,jy2866_m2b_casper.fits,0.4902,-0.032,0.758,0.0304,4975.5,250,12.2,  NaN, NaN, NaN,GIANT, HALO, ,2000
39,jy3116_med_casper.fits,0.783,0.0819,1.228,0.0533,4312.56,250,-199,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
40,jy3116_sum_casper.fits,0.783,0.0819,1.228,0.0533,4312.56,250,-197.5,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
41,jy3193_m1b_casper.fits,0.2694,-0.1648,0.599,0.0107,5340,250,0.9,  NaN, NaN, NaN,GIANT, HALO, ,2000
42,jy3193_m2b_casper.fits,0.2694,-0.1648,0.599,0.0107,5340,250,-5.2,  NaN, NaN, NaN,GIANT, HALO, ,2000
43,jy3196_med_casper.fits,0.6034,0.0744,0.757,0.0287,5016,250,-4.3,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
44,jy3196_sum_casper.fits,0.6034,0.0744,0.757,0.0287,5016,250,-7.8,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
45,jy3233_sum_casper.fits,0.6408,0.3606,0.747,0.043,5058,250,194.4,  NaN, NaN, NaN,DWARF, HALO,CH ,2000
46,jy3255_m1b_casper.fits,0.6614,0.1535,0.684,0.0275,5114.76,250,47.1,  NaN, NaN, NaN,GIANT, HALO, ,2000
47,jy3255_m2b_casper.fits,0.6614,0.1535,0.684,0.0275,5114.76,250,47.1,  NaN, NaN, NaN,GIANT, HALO, ,2000
48,jy3291_m1b_casper.fits,0.4434,0.0508,0.803,0.0149,4980,250,-428.9,  NaN, NaN, NaN,GIANT, HALO, ,2000
49,jy3291_m2b_casper.fits,0.4434,0.0508,0.803,0.0149,4980,250,-449.4,  NaN, NaN, NaN,GIANT, HALO, ,2000
50,jy3321_m1b_casper.fits,0.8279,0.1648,1.287,0.0118,4248.45,250,77.4,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
51,jy3321_m2b_casper.fits,0.8279,0.1648,1.287,0.0118,4248.45,250,77.4,  NaN, NaN, NaN,GIANT, HALO,CH ,2000
