sequence,name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,carbon_mode,MCMC_iter
12,jy1051_m1b_casper.fits,0.9289,0.2561,1.704,0.0238,4117,250,-76.6,  NaN, NaN, NaN,DWARF, HALO, ,500
13,jy1051_m2b_casper.fits,0.9289,0.2561,1.704,0.0238,4117,250,-84.8,  NaN, NaN, NaN,DWARF, HALO, ,500
14,jy1118_m1b_casper.fits,0.7905,0.1073,1.011,0.0297,4906.45,250,84.9,  NaN, NaN, NaN,GIANT, HALO, ,1000
24,jy1926_m1b_casper.fits,1.0496,0.3192,1.58,0.0454,3945,250,62.6,  NaN, NaN, NaN,DWARF, HALO, ,1000
25,jy1926_m2b_casper.fits,1.0496,0.3192,1.58,0.0454,3945,250,20,  NaN, NaN, NaN,DWARF, HALO, ,1000
34,jy2553_m2b_casper.fits,0.4696,-0.0932,0.871,0.0693,5022,250,62.6,  NaN, NaN, NaN,GIANT, HALO, ,1000
35,jy2559_m1b_casper.fits,0.55,0.0932,0.763,0.0395,4957.5,250,339.1,  NaN, NaN, NaN,GIANT, HALO, ,1000
36,jy2559_m2b_casper.fits,0.55,0.0932,0.763,0.0395,4957.5,250,285,  NaN, NaN, NaN,GIANT, HALO, ,1000
37,jy2866_m1b_casper.fits,0.4902,-0.032,0.758,0.0304,4975.5,250,88.4,  NaN, NaN, NaN,GIANT, HALO, ,1000
38,jy2866_m2b_casper.fits,0.4902,-0.032,0.758,0.0304,4975.5,250,87.2,  NaN, NaN, NaN,GIANT, HALO, ,1000
41,jy3193_m1b_casper.fits,0.2694,-0.1648,0.599,0.0107,5340,250,50.9,  NaN, NaN, NaN,GIANT, HALO, ,1000
42,jy3193_m2b_casper.fits,0.2694,-0.1648,0.599,0.0107,5340,250,35.2,  NaN, NaN, NaN,GIANT, HALO, ,1000
46,jy3255_m1b_casper.fits,0.6614,0.1535,0.684,0.0275,5114.76,250,87.1,  NaN, NaN, NaN,GIANT, HALO, ,1000
47,jy3255_m2b_casper.fits,0.6614,0.1535,0.684,0.0275,5114.76,250,91.9,  NaN, NaN, NaN,GIANT, HALO, ,1000
48,jy3291_m1b_casper.fits,0.4434,0.0508,0.803,0.0149,4980,250,-398.9,  NaN, NaN, NaN,GIANT, HALO, ,1000
49,jy3291_m2b_casper.fits,0.4434,0.0508,0.803,0.0149,4980,250,-419.4,  NaN, NaN, NaN,GIANT, HALO, ,1000
50,jy3321_m1b_casper.fits,0.8279,0.1648,1.287,0.0118,4248.45,250,107.4,  NaN, NaN, NaN,GIANT, HALO, ,1000
51,jy3321_m2b_casper.fits,0.8279,0.1648,1.287,0.0118,4248.45,250,76.7,  NaN, NaN, NaN,GIANT, HALO, ,1000
