name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,MCMC_iter
hd198269_m1b_casper.fits,0.6595,0.097,,0.1021,4716,200,-157.2,  NaN, NaN, NaN,GIANT, HALO,400
hd198269_m2b_casper.fits,0.6595,0.097,,0.1021,4716,200,-264.2,  NaN, NaN, NaN,GIANT, HALO,400
jy1390_m1b_casper.fits,0.8681,0.2853,1.495,0.0283,4035,200,289,  NaN, NaN, NaN,DWARF, HALO,400
jy1390_m2b_casper.fits,0.8681,0.2853,1.495,0.0283,4035,200,238,  NaN, NaN, NaN,DWARF, HALO,400
jy1900_m1b_casper.fits,0.6576,0.0198,1.448,0.0578,4072,200,-40,  NaN, NaN, NaN,DWARF, HALO,400
jy1900_m2b_casper.fits,0.6576,0.0198,1.448,0.0578,4072,200,-91.1,  NaN, NaN, NaN,DWARF, HALO,400
jy2183_m1b_casper.fits,0.5444,0.1347,0.815,0.0694,4923,250,-26.3,  NaN, NaN, NaN,GIANT, HALO,400
jy2183_m2b_casper.fits,0.5444,0.1347,0.815,0.0694,4923,250,-56,  NaN, NaN, NaN,GIANT, HALO,400
jy2552_m1b_casper.fits,0.3985,0.0565,0.627,0.0519,5324,200,-370,  NaN, NaN, NaN,GIANT, HALO,400
jy2552_m2b_casper.fits,0.3985,0.0565,0.627,0.0519,5324,200,-352,  NaN, NaN, NaN,GIANT, HALO,400
jy2559_m1b_casper.fits,0.55,0.0932,0.763,0.0395,4957.5,200,339.1,  NaN, NaN, NaN,GIANT, HALO,400
jy2559_m2b_casper.fits,0.55,0.0932,0.763,0.0395,4957.5,200,285,  NaN, NaN, NaN,GIANT, HALO,400
jy3116_med_casper.fits,0.783,0.0819,1.228,0.0533,4312.56,200,-199,  NaN, NaN, NaN,GIANT, HALO,400
jy3116_sum_casper.fits,0.783,0.0819,1.228,0.0533,4312.56,200,-197.5,  NaN, NaN, NaN,GIANT, HALO,400
jy3233_sum_casper.fits,0.6408,0.3606,0.747,0.043,5058,200,214.4,  NaN, NaN, NaN,GIANT, HALO,400
jy3291_m1b_casper.fits,0.4434,0.0508,0.803,0.0149,4980,200,-398.9,  NaN, NaN, NaN,GIANT, HALO,400
jy3291_m2b_casper.fits,0.4434,0.0508,0.803,0.0149,4980,200,-419.4,  NaN, NaN, NaN,GIANT, HALO,400
