name,(J-K)0,(H-K)0,(g-r)0,EBV,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,MCMC_iter
J040618.2030525.fits,  0.5243, 0.0922, 0.6703, NaN, 250, 355.27,  NaN, NaN, NaN, GIANT, HALO, 400
J044208.2342114.fits,  0.6766, 0.1359, NaN,    NaN, 250, 319.52,  NaN, NaN, NaN, GIANT, HALO, 400
J053817.0751621.fits,  0.6106, 0.9426, NaN,    NaN, 250, 52.906,  NaN, NaN, NaN, GIANT, HALO, 400
J111912.3160947.fits,  0.4927, 0.0988, 0.5537, NaN, 250, 93.38,   NaN, NaN, NaN, GIANT, HALO, 400
J115941.7382043.fits,  0.5431, 0.1015, 0.6232, NaN, 250, 50.27,   NaN, NaN, NaN, GIANT, HALO, 400
J124753.3390802.fits,  0.7629, 0.1382, 0.9808, NaN, 250, 29.02,   NaN, NaN, NaN, GIANT, HALO, 400
J151608.7212160.fits,  0.7398, 0.1323, 1.0189, NaN, 250, 182.10,  NaN, NaN, NaN, GIANT, HALO, 400
J165300.5005507.fits,  0.6910, 0.1372, 0.7935, NaN, 250, -29.06,  NaN, NaN, NaN, GIANT, HALO, 400
J175159.8475131.fits,  0.7917, 0.1775, NaN,    NaN, 250, 59.50,   NaN, NaN, NaN, GIANT, HALO, 400
J180242.3440443.fits,  0.7849, 0.1032, 0.9234, NaN, 250, -223.06, NaN, NaN, NaN, GIANT, HALO, 400
J183108.2491105.fits,  0.7130, 0.0992, 0.9436, NaN, 250, -175.82, NaN, NaN, NaN, GIANT, HALO, 400
J201446.1563530.fits,  0.5698, 0.0917, 0.6765, NaN, 250, -10.75,  NaN, NaN, NaN, GIANT, HALO, 400 
